,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
1101,456,PT01M48.00S,2021-02-26T03:44:00.5Z,3,REGULAR,jumpball,recovered,[],1629060,,,1610612764,83,84,2021-02-26T03:44:00Z,4500000,,,0,,Jump Ball R. Westbrook vs. J. Murray: Tip to R. Hachimura,"[1629060, 201566, 1627750]",1610612764.0,WAS,heldball,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Westbrook,201566.0,Murray,1627750.0,,,,,,,,,,,,,,,,,,,,,,0022000502
1095,4,PT11M55.00S,2021-02-26T02:48:50.4Z,1,REGULAR,jumpball,recovered,[],202339,,,1610612740,0,0,2021-02-26T02:48:50Z,40000,,,0,,Jump Ball S. Adams vs. B. Lopez: Tip to E. Bledsoe,"[202339, 203500, 201572]",1610612740.0,NOP,startperiod,E. Bledsoe,202339.0,Bledsoe,E. Bledsoe,Adams,203500.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,0022000503
1082,4,PT12M00.00S,2021-02-27T01:11:04.0Z,1,REGULAR,jumpball,recovered,[],1628372,,,1610612765,0,0,2021-02-27T01:11:04Z,40000,,,0,,Jump Ball M. Plumlee vs. R. Holmes: Tip to D. Smith Jr.,"[1628372, 203486, 1626158]",1610612765.0,DET,startperiod,D. Smith Jr.,1628372.0,Smith Jr.,D. Smith Jr.,Plumlee,203486.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,,0022000504
1083,493,PT00M11.70S,2021-02-27T02:54:44.2Z,3,REGULAR,jumpball,recovered,[],1629004,,,1610612765,80,75,2021-02-27T02:54:44Z,4790000,,,0,,Jump Ball I. Stewart vs. C. Joseph: Tip to S. Mykhailiuk,"[1629004, 1630191, 202709]",1610612765.0,DET,heldball,S. Mykhailiuk,1629004.0,Mykhailiuk,S. Mykhailiuk,Stewart,1630191.0,Joseph,202709.0,,,,,,,,,,,,,,,,,,,,,,0022000504
1080,4,PT11M57.00S,2021-02-27T00:45:23.4Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-02-27T00:45:23Z,40000,,,0,,Jump Ball D. Theis vs. M. Turner: Tip to K. Walker,"[202689, 1628464, 1626167]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,0022000505
1081,512,PT09M31.00S,2021-02-27T02:40:35.2Z,4,REGULAR,jumpball,recovered,[],201952,,,1610612738,96,88,2021-02-27T02:40:35Z,4980000,,,0,,Jump Ball R. Williams III vs. M. Turner: Tip to J. Teague,"[201952, 1629057, 1626167]",1610612738.0,BOS,challenge,J. Teague,201952.0,Teague,J. Teague,Williams III,1629057.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,0022000505
1076,4,PT11M57.00S,2021-02-27T00:40:49.8Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2021-02-27T00:40:49Z,40000,,,0,,Jump Ball C. Boucher vs. D. House Jr.: Tip to F. VanVleet,"[1627832, 1628449, 1627863]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Boucher,1628449.0,House Jr.,1627863.0,,,,,,,,,,,,,,,,,,,,,,0022000506
1077,287,PT03M54.00S,2021-02-27T01:31:27.3Z,2,REGULAR,jumpball,recovered,[],202322,,,1610612745,54,46,2021-02-27T01:32:25Z,2870000,,,0,,Jump Ball D. House Jr. vs. C. Boucher: Tip to J. Wall,"[202322, 1627863, 1628449]",1610612745.0,HOU,lodgedball,J. Wall,202322.0,Wall,J. Wall,House Jr.,1627863.0,Boucher,1628449.0,,,,,,,,,,,,,,,,,,,,,,0022000506
1078,296,PT03M43.00S,2021-02-27T01:35:14.4Z,2,REGULAR,jumpball,recovered,[],1627775,,,1610612761,54,46,2021-02-27T01:35:14Z,2960000,,,0,,Jump Ball C. Boucher vs. D. House Jr.: Tip to P. McCaw,"[1627775, 1628449, 1627863]",1610612761.0,TOR,challenge,P. McCaw,1627775.0,McCaw,P. McCaw,Boucher,1628449.0,House Jr.,1627863.0,,,,,,,,,,,,,,,,,,,,,,0022000506
1079,674,PT00M52.30S,2021-02-27T02:53:30.3Z,4,REGULAR,jumpball,recovered,[],202322,,,1610612761,121,111,2021-02-27T02:53:30Z,6640000,,,0,,Jump Ball V. Oladipo vs. N. Powell: Tip to J. Wall,"[202322, 203506, 1626181]",1610612745.0,HOU,heldball,J. Wall,202322.0,Wall,J. Wall,Oladipo,203506.0,Powell,1626181.0,,,,,,,,,,,,,,,,,,,,,,0022000506
1074,4,PT11M56.00S,2021-02-27T01:12:09.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-02-27T01:12:09Z,40000,,,0,,Jump Ball R. Gobert vs. B. Adebayo: Tip to R. O'Neale,"[1626220, 203497, 1628389]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,0022000507
1075,583,PT03M44.00S,2021-02-27T03:11:44.8Z,4,REGULAR,jumpball,recovered,[],1628378,,,1610612748,116,108,2021-02-27T03:11:44Z,5690000,,,0,,Jump Ball M. Conley vs. J. Butler: Tip to D. Mitchell,"[1628378, 201144, 202710]",1610612762.0,UTA,heldball,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Conley,201144.0,Butler,202710.0,,,,,,,,,,,,,,,,,,,,,,0022000507
1090,4,PT11M55.00S,2021-02-27T01:10:17.4Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-02-27T01:10:17Z,40000,,,0,,Jump Ball D. Ayton vs. W. Carter Jr.: Tip to C. Paul,"[101108, 1629028, 1628976]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,0022000508
1091,339,PT06M21.00S,2021-02-27T02:24:10.6Z,3,REGULAR,jumpball,recovered,[],203897,,,1610612741,66,61,2021-02-27T02:24:10Z,3350000,,,0,,Jump Ball L. Kornet vs. D. Ayton: Tip to Z. LaVine,"[203897, 1628436, 1629028]",1610612741.0,CHI,heldball,Z. LaVine,203897.0,LaVine,Z. LaVine,Kornet,1628436.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,0022000508
1087,4,PT11M57.00S,2021-02-27T01:10:27.0Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612763,0,0,2021-02-27T01:10:27Z,40000,,,0,,Jump Ball J. Valanciunas vs. S. Ibaka: Tip to G. Allen,"[1628960, 202685, 201586]",1610612763.0,MEM,startperiod,G. Allen,1628960.0,Allen,G. Allen,Valanciunas,202685.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,,0022000509
1088,534,PT07M39.00S,2021-02-27T03:00:59.1Z,4,REGULAR,jumpball,recovered,[],202694,,,1610612746,81,100,2021-02-27T03:00:59Z,5290000,,,0,,Jump Ball I. Zubac vs. J. Valanciunas: Tip to M. Morris Sr.,"[202694, 1627826, 202685]",1610612746.0,LAC,challenge,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,0022000509
1089,587,PT04M38.00S,2021-02-27T03:09:04.9Z,4,REGULAR,jumpball,recovered,[],202331,,,1610612746,91,103,2021-02-27T03:12:48Z,5785000,,,0,,Jump Ball L. Williams vs. D. Melton: Tip to P. George,"[202331, 101150, 1629001]",1610612746.0,LAC,heldball,P. George,202331.0,George,P. George,Williams,101150.0,Melton,1629001.0,,,,,,,,,,,,,,,,,,,,,,0022000509
1093,4,PT11M56.00S,2021-02-27T01:10:18.1Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-02-27T01:10:18Z,40000,,,0,,Jump Ball C. Capela vs. D. Bazley: Tip to T. Young,"[1629027, 203991, 1629647]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Bazley,1629647.0,,,,,,,,,,,,,,,,,,,,,,0022000510
