,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
759,7,PT11M46.00S,2021-02-06T00:10:46.6Z,1,REGULAR,3pt,Jump Shot,[],203087,66.04796320630749,46.63756127450981,1610612754,3,0,2021-02-06T00:10:50Z,70000,-17.0,267.0,1,right,J. Lamb 26' 3PT pullup (3 PTS) (M. Brogdon 1 AST),"[203087, 1627763]",1610612754.0,IND,pullup,,,Lamb,J. Lamb,,,,,,,,26.71,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,0022000343
756,7,PT11M34.00S,2021-02-06T00:11:00.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,89.30683311432325,50.314031862745104,1610612753,2,0,2021-02-06T00:11:06Z,70000,2.0,48.0,1,right,N. Vucevic Hook (2 PTS) (E. Fournier 1 AST),"[202696, 203095]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,,4.8,Made,2.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,0022000344
760,11,PT11M34.00S,2021-02-06T00:46:15.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",203382,5.590000152587891,50.0,1610612761,0,2,2021-02-06T00:47:38Z,110000,0.0,0.0,1,left,A. Baynes putback DUNK (2 PTS),[203382],1610612761.0,TOR,putback,,,Baynes,A. Baynes,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,0022000345
752,7,PT11M39.00S,2021-02-06T00:41:04.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,13.485545335085414,56.93167892156863,1610612739,2,0,2021-02-06T00:41:09Z,70000,-35.0,74.0,1,left,D. Garland 8' driving floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,,,,8.2,Made,2.0,,,,,,,,,,,,,,,,0022000346
757,7,PT11M36.00S,2021-02-06T01:12:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629060,68.28186596583443,28.990502450980394,1610612764,0,3,2021-02-06T01:12:15Z,70000,-105.0,246.0,1,right,R. Hachimura 26' 3PT  (3 PTS) (B. Beal 1 AST),"[1629060, 203078]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,26.72,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,0022000347
755,7,PT11M54.00S,2021-02-06T01:10:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,9.280551905387648,52.27481617647059,1610612760,2,0,2021-02-06T01:10:17Z,70000,-11.0,35.0,1,left,H. Diallo Layup (2 PTS),[1628977],1610612760.0,OKC,,,,Diallo,H. Diallo,,,,,,,,3.65,Made,2.0,,,,,,,,,,,,,,,,0022000348
753,7,PT11M46.00S,2021-02-06T02:10:52.0Z,1,REGULAR,2pt,Jump Shot,[],203924,24.78646517739816,50.55912990196079,1610612765,0,2,2021-02-06T02:11:10Z,70000,-3.0,180.0,1,left,J. Grant 18' pullup Jump Shot (2 PTS) (B. Griffin 1 AST),"[203924, 201933]",1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,18.05,Made,2.0,B. Griffin,201933.0,1.0,,,,,,,,,,,,,0022000349
754,18,PT11M26.00S,2021-02-06T03:17:06.7Z,1,REGULAR,freethrow,1 of 1,[],202695,,,1610612746,1,0,2021-02-06T03:17:06Z,180000,,,0,,K. Leonard technical Free Throw 1 of 1 (1 PTS),[202695],1610612746.0,LAC,technical,,,Leonard,K. Leonard,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000350
748,11,PT11M23.00S,2021-02-06T18:13:17.8Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203944,91.40932982917214,29.970894607843135,1610612752,2,0,2021-02-06T18:13:23Z,110000,-100.0,28.0,1,right,J. Randle 10' turnaround Jump Shot (2 PTS),[203944],1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,,,,10.4,Made,2.0,,,,,,,,,,,,,,,,0022000351
749,7,PT11M45.00S,2021-02-06T22:11:02.9Z,1,REGULAR,2pt,Jump Shot,[],203115,77.61169513797634,26.049325980392158,1610612743,0,2,2021-02-06T22:11:49Z,70000,-120.0,158.0,1,right,W. Barton 19' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,,,,19.83,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,0022000352
746,15,PT11M11.00S,2021-02-07T00:11:37.6Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612753,1,0,2021-02-07T00:11:37Z,150000,,,0,,N. Vucevic Free Throw 1 of 2 (1 PTS),[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000353
743,9,PT11M37.00S,2021-02-07T01:10:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,94.43166885676742,48.59834558823529,1610612751,0,2,2021-02-07T01:10:47Z,90000,-7.0,0.0,1,right,J. Harden running finger roll Layup (2 PTS),[201935],1610612751.0,BKN,running finger roll,,,Harden,J. Harden,,,,,,,,0.7,Made,2.0,,,,,,,,,,,,,,,,0022000354
747,17,PT10M50.00S,2021-02-07T02:11:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628415,94.03745072273325,51.294424019607845,1610612763,0,2,2021-02-07T02:11:55Z,170000,6.0,4.0,1,right,D. Brooks driving finger roll Layup (2 PTS),[1628415],1610612763.0,MEM,driving finger roll,,,Brooks,D. Brooks,,,,,,,,0.74,Made,2.0,,,,,,,,,,,,,,,,0022000355
750,17,PT10M52.00S,2021-02-07T01:11:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203991,93.9060446780552,52.27481617647059,1610612737,2,0,2021-02-07T01:12:04Z,170000,11.0,5.0,1,right,C. Capela running Layup (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,,,,1.24,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,0022000356
744,9,PT11M21.00S,2021-02-07T01:11:40.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201572,88.64980289093299,64.77481617647058,1610612749,0,2,2021-02-07T01:11:44Z,90000,74.0,54.0,1,right,B. Lopez 9' driving floating bank Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,driving floating bank,,,Lopez,B. Lopez,,,,,,,,9.16,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,0022000357
741,9,PT11M33.00S,2021-02-07T01:11:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,81.42247043363994,41.24540441176471,1610612759,0,2,2021-02-07T01:11:41Z,90000,-44.0,122.0,1,right,K. Johnson 12' floating Jump Shot (2 PTS) (D. White 1 AST),"[1629640, 1628401]",1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,,,,12.97,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,0022000358
742,8,PT11M44.00S,2021-02-07T01:10:42.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,4.812746386333772,96.39246323529412,1610612760,3,0,2021-02-07T01:26:03Z,80000,-232.0,-7.0,1,left,S. Gilgeous-Alexander 3PT  (3 PTS) (T. Maledon 1 AST),"[1628983, 1630177]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,23.21,Made,3.0,T. Maledon,1630177.0,1.0,,,,,,,,,,,,,0022000359
